channel,central_wavenumber[1/cm],fov[deg],longitude[deg],latitude[deg],altitude[km],intrusion_scan_range,bb_temp_mean[K],bb_temp_std[K],moon_counts_mean,bb_radiance[MJy/sr],moon_counts_std,dsv_counts_mean,dsv_counts_std,bb_counts_mean,bb_counts_std,ang_diam[deg],phase_angle[deg],slope,slope_sigma,radiance[MJy/sr],radiance_sigma[MJy/sr],brightness_temp[K]
1,667.723,1.3,69.9422,-35.0549,816.0,"[15, 39]",283.0954,0.0388,-515.0,402831049.64,2.84,-379.93,2.43,-754.65,3.49,0.5447974999999999,5.4418T,-1075018.813087105,12200.242068802048,852353448.9242053,1.2007729795843187,355.8461888011547
2,678.302,1.3,69.9422,-35.0549,816.0,"[14, 37]",283.0954,0.0388,-373.0,399472660.32,2.14,-23.95,1.0,-939.35,1.18,0.5447974999999999,5.4418T,-436391.3702425169,737.3643600631626,894146239.5691113,0.2669617836141345,361.57275194413194
3,689.261,1.3,69.9422,-35.0549,816.0,"[14, 37]",283.0954,0.0388,-99.0,395710540.31,0.76,375.99,1.04,-850.39,1.08,0.5447974999999999,5.4418T,-322665.5199122621,394.48060282965184,899666985.935886,0.10768330268282739,362.1599716179211
4,702.936,1.3,69.9422,-35.0549,816.0,"[14, 41]",283.0954,0.0388,1118.0,390736077.72,6.37,1992.39,0.84,-218.26,0.88,0.5447974999999999,5.4418T,-176751.66929183726,97.26898705231946,907221773.0077331,0.2908871902596539,363.0631922376546
5,716.2,1.3,69.9422,-35.0549,816.0,"[10, 33]",283.0954,0.0388,1577.5,385598305.12,2.49,2585.91,1.05,104.61,1.02,0.5447974999999999,5.4418T,-155401.72696570348,91.68061494386541,919893908.2773224,0.10844387152915178,364.7218148086647
6,731.739,1.3,69.9422,-35.0549,816.0,"[10, 39]",283.0954,0.0388,1395.5,379242117.21,4.61,2329.84,0.99,59.35,1.19,0.5447974999999999,5.4418T,-167030.9568463195,113.87775778717705,916107986.2918723,0.2096954121795629,364.3073399583996
7,748.672,1.3,69.9422,-35.0549,816.0,"[10, 40]",283.0954,0.0388,2557.0,371943897.01,13.44,4081.18,0.87,441.61,1.22,0.5447974999999999,5.4418T,-102194.46171113622,42.074064851719726,914341385.243099,0.37079266047509557,364.3205034971594
8,896.745,1.3,69.9422,-35.0549,816.0,"[10, 40]",283.0954,0.0388,1863.5,297590154.28,6.72,3354.16,0.44,364.37,0.51,0.5447974999999999,5.4418T,-99535.47047785964,22.424438550720925,870966056.325809,0.22541131302769735,366.20276000162704
9,1030.368,1.3,69.9422,-35.0549,816.0,"[10, 33]",283.0954,0.0388,152.5,227737008.7,1.1,948.45,0.4,-507.09,0.38,0.5447974999999999,5.4418T,-156462.21244349176,59.30723080076833,731038100.9130704,0.0799556854368557,361.41943654615835
10,803.586,1.3,69.9422,-35.0549,816.0,"[10, 40]",283.0954,0.0388,2224.5,346033691.76,12.38,3482.82,1.01,669.72,1.38,0.5447974999999999,5.4418T,-123007.95981657245,74.77800209386314,908592344.4173182,0.4428096029035108,365.2958573944573
11,1369.287,1.3,69.9422,-35.0549,816.0,"[14, 37]",283.0954,0.0388,203.5,95087575.56,1.79,1188.74,0.88,-99.04,1.0,0.5447974999999999,5.4418T,-73838.36956623026,76.37763154564377,427040330.27777004,0.15921900228937289,359.5067108236106
12,1530.425,1.3,69.9422,-35.0549,816.0,"[10, 37]",283.0954,0.0388,475.5,58539671.68,1.1,1100.97,1.0,411.28,0.98,0.5447974999999999,5.4418T,-84878.23758500195,172.31170158032148,311635981.60833466,0.2136074392256554,359.3935622530884
13,2188.193,1.3,69.9422,-35.0549,816.0,"[10, 40]",283.0954,0.0388,-632.5,6039926.37,2.49,912.8,0.41,157.93,0.35,0.5447974999999999,5.4418T,-8001.280180693366,5.713932653603755,72580012.94472736,-0.33310082245489,363.77654529121685
14,2209.937,1.3,69.9422,-35.0549,816.0,"[10, 40]",283.0954,0.0388,-403.5,5569317.21,2.49,1637.67,0.38,667.37,0.4,0.5447974999999999,5.4418T,-5739.788941564464,3.263714912642203,68773299.1024631,-0.2599117729462296,363.87963067579517
15,2235.281,1.3,69.9422,-35.0549,816.0,"[10, 48]",283.0954,0.0388,-576.0,5066840.32,3.55,1330.5,0.41,452.96,0.38,0.5447974999999999,5.4418T,-5773.91380449894,3.6781410998598534,64617754.833251655,-0.40685098774840056,364.0315953349512
16,2241.984,1.3,69.9422,-35.0549,816.0,"[10, 40]",283.0954,0.0388,-528.0,4941162.7,3.55,1365.4,0.45,502.93,0.37,0.5447974999999999,5.4418T,-5729.083562326806,3.8698762561209947,63675488.86224027,-0.41383812453425217,364.14763593454535
17,2418.977,1.3,69.9422,-35.0549,816.0,"[10, 40]",283.0954,0.0388,1075.5,2525801.8,6.02,1990.78,0.32,1676.89,0.31,0.5447974999999999,5.4418T,-8046.773710535541,11.42153733895572,43233512.31826899,-1.9204105292711902,367.3859373579919
18,2518.796,1.3,69.9422,-35.0549,816.0,"[10, 40]",283.0954,0.0388,936.0,1717513.0,2.14,2090.36,0.32,1757.22,0.32,0.5447974999999999,5.4418T,-5155.529206940024,7.003440548156511,34934881.899376154,-0.6495147362910393,369.50233703932895
19,2657.266,1.3,69.9422,-35.0549,816.0,"[10, 40]",283.0954,0.0388,589.0,1005134.77,2.84,2635.52,0.33,2181.63,0.32,0.5447974999999999,5.4418T,-2214.4897882746927,2.2427084320890125,26603233.942127116,-0.6296616995086337,373.3339810903138
